phi,theta,est_phi,est_theta,pred_err
62.75000000000003,-6.890000000000001,69.196,29.146999999999935,36.56747991001807
62.75000000000003,-6.890000000000001,69.08599999999996,27.942000000000064,35.365822971801045
62.389999999999986,-8.930000000000007,68.15899999999985,26.04100000000018,35.41789558263563
62.389999999999986,-8.930000000000007,70.69299999999981,27.843000000000046,37.640551967263576
61.76000000000002,-10.510000000000005,70.61999999999989,28.225999999999942,39.67301549154202
61.079999999999984,-12.150000000000006,70.18400000000008,28.005999999999887,41.112624048203635
61.079999999999984,-12.150000000000006,71.31100000000006,25.44399999999999,38.8932565210288
60.29999999999998,-14.789999999999992,69.63300000000015,22.68400000000007,38.572426863735544
60.29999999999998,-14.789999999999992,70.13800000000037,18.50800000000001,34.679880136731825
59.420000000000016,-16.489999999999995,68.3000000000005,16.80699999999996,34.428349280059855
59.420000000000016,-16.489999999999995,70.7200000000004,15.888999999999996,34.244229591685915
58.18000000000001,-17.189999999999998,71.78800000000027,16.124000000000038,35.912836352501955
58.18000000000001,-17.189999999999998,74.08399999999969,18.403999999999968,38.87983815930047
56.920000000000044,-18.47,74.38899999999961,19.110999999999876,41.30920666422475
56.920000000000044,-18.47,72.92699999999962,5.512999999999906,28.710114610406222
54.74000000000001,-20.14,72.12399999999988,-2.3249999999999886,24.604784704225704
54.74000000000001,-20.14,66.26399999999992,-33.33499999999983,16.707181265663653
47.59000000000003,-23.289999999999992,64.22499999999985,-42.20099999999983,23.430118867745353
47.59000000000003,-23.289999999999992,62.410999999999746,-53.674999999999976,32.37690125169147
44.079999999999956,-23.659999999999997,63.45299999999983,-52.56000000000009,32.44184917767278
44.079999999999956,-23.659999999999997,63.70700000000028,-44.91200000000007,26.58039489658807
39.44,-23.549999999999997,62.71500000000046,-44.12199999999997,28.033017091623403
39.44,-23.549999999999997,58.90100000000018,-47.35799999999992,28.426926789215226
35.109999999999985,-23.789999999999992,57.83199999999994,-51.48399999999998,32.73098385058128
35.109999999999985,-23.789999999999992,56.70799999999957,-53.94000000000018,34.218723829824434
30.620000000000005,-23.78,56.965999999999696,-52.86400000000024,35.26158976847556
30.620000000000005,-23.78,52.905999999999864,-69.43600000000013,47.54938441685185
26.360000000000014,-23.480000000000004,50.3149999999998,-80.76100000000001,58.14070074296642
26.360000000000014,-23.480000000000004,49.233000000000004,-69.65499999999989,48.134541692171716
22.28,-23.39,50.84600000000009,-55.03799999999991,38.06954136672401
19.110000000000014,-22.650000000000006,55.590000000000316,-29.078000000000017,33.31322178609113
16.189999999999998,-21.739999999999995,56.039000000000385,-31.868000000000038,36.755824206053006
16.189999999999998,-21.739999999999995,56.976999999999975,-38.43200000000011,38.63376186814395
13.309999999999974,-20.819999999999993,56.80199999999974,-39.8060000000001,41.54187091329529
13.309999999999974,-20.819999999999993,54.68599999999978,-39.054000000000066,39.771041437536184
10.900000000000034,-20.099999999999994,48.9729999999999,-49.412,42.10101117781968
10.900000000000034,-20.099999999999994,48.77100000000007,-42.41199999999992,38.821030971968746
9.72999999999999,-19.659999999999997,45.28400000000002,-55.79399999999986,44.851005515238654
9.72999999999999,-19.659999999999997,48.69399999999993,-49.83799999999985,43.16751236468034
8.310000000000002,-19.620000000000005,46.90600000000026,-51.429999999999936,43.81993062686397
8.310000000000002,-19.620000000000005,46.24400000000031,-49.195999999999984,42.29825503804236
6.889999999999986,-19.510000000000005,42.62800000000021,-37.40000000000005,35.840915407819274
6.889999999999986,-19.510000000000005,41.016000000000076,-34.580000000000034,33.69777458313516
5.5800000000000125,-18.810000000000002,37.831999999999994,-32.544000000000004,31.97373995597208
5.5800000000000125,-18.810000000000002,37.26600000000013,-34.85400000000002,32.300000980914376
4.469999999999999,-18.260000000000005,30.12600000000012,-41.98600000000002,32.23286422040089
4.469999999999999,-18.260000000000005,26.402000000000015,-43.86300000000003,31.541970036167505
4.0,-17.840000000000003,-14.590000000000089,-57.42499999999995,41.93193727283367
4.0,-17.840000000000003,-32.857000000000056,-63.272999999999925,51.96245258265767
3.6200000000000045,-17.680000000000007,-44.20300000000037,-55.73099999999997,52.32466255010944
3.6200000000000045,-17.680000000000007,-34.32300000000052,-47.26100000000002,42.86309935306052
3.5299999999999727,-17.58,-20.817000000000405,-26.427000000000035,24.19149165756312
3.5299999999999727,-17.58,-26.176000000000187,-24.89500000000004,28.57164531433978
3.6899999999999977,-17.810000000000002,-34.083999999999776,-24.13699999999993,35.72490808842919
3.6899999999999977,-17.810000000000002,-34.85499999999982,-25.317999999999913,36.494664204072414
3.9000000000000057,-17.340000000000003,-36.556999999999874,-26.00200000000003,38.421843022918544
3.9000000000000057,-17.340000000000003,-38.84899999999999,-25.223000000000084,40.43548801748946
3.819999999999993,-17.36,-41.002999999999815,-21.645000000000152,42.328176680924074
3.819999999999993,-17.36,-41.993999999999716,-20.626000000000133,43.305540571843245
3.75,-17.33,-41.85399999999996,-20.01800000000003,43.15774872105696
3.75,-17.33,-64.48400000000005,-15.601000000000013,65.09901056367909
3.4099999999999966,-17.450000000000003,-68.98700000000034,-8.724999999999937,70.6916481422605
3.4099999999999966,-17.450000000000003,-67.19300000000028,-5.670999999999921,69.82374052589465
3.2700000000000102,-17.460000000000008,-51.42200000000017,-2.102999999999895,55.80706297395575
3.2700000000000102,-17.460000000000008,-32.16200000000018,-6.439999999999927,36.29189498259822
3.090000000000032,-18.049999999999997,-30.43799999999976,-7.183999999999955,34.399647161873936
3.090000000000032,-18.049999999999997,-29.944999999999624,-7.515999999999977,33.8230236823245
2.7899999999999636,-18.599999999999994,-19.950999999999794,-10.268000000000015,23.51623063249369
2.7899999999999636,-18.599999999999994,-16.575000000000074,-10.96000000000005,20.20193683323023
2.5999999999999943,-18.42,-11.041000000000253,-15.208000000000112,13.442440735738195
2.5999999999999943,-18.42,-12.384000000000128,-16.4320000000001,14.429299845912652
2.329999999999984,-18.210000000000008,-14.836000000000126,-18.49200000000006,16.28936398313932
2.329999999999984,-18.210000000000008,-15.404000000000224,-18.231000000000037,16.838204256547115
1.8899999999999864,-18.090000000000003,-15.507999999999953,-13.704999999999998,17.28798791607539
1.8899999999999864,-18.090000000000003,-15.69099999999969,-11.596000000000004,18.178412088999206
1.120000000000033,-17.83,-14.412999999999727,-8.419999999999973,17.79631641950267
1.120000000000033,-17.83,-14.237000000000052,-8.664999999999935,17.516348612061403
-0.27000000000001023,-17.25,-9.271000000000356,-10.178999999999988,11.240096159476932
-0.27000000000001023,-17.25,-7.4750000000002785,-10.414000000000016,9.777699722176898
-2.030000000000001,-16.810000000000002,-3.0489999999998076,-12.762000000000057,4.166118656427833
-2.030000000000001,-16.810000000000002,-2.9219999999997412,-13.504000000000062,3.4162337943645977
-4.6699999999999875,-16.450000000000003,-0.6019999999998902,-15.479999999999961,4.029471029216177
-4.6699999999999875,-16.450000000000003,0.260999999999882,-15.625999999999948,4.810021138021078
-7.319999999999993,-15.870000000000005,3.7629999999997494,-18.19399999999993,10.846459296422301
-7.319999999999993,-15.870000000000005,4.60199999999989,-19.30899999999997,11.869608612994458
-9.539999999999992,-12.689999999999998,6.638000000000147,-16.798999999999964,16.168646577703594
-9.539999999999992,-12.689999999999998,6.8770000000002085,-14.440999999999988,16.051041243099316
-9.5,-11.710000000000008,5.35100000000017,-13.010999999999996,14.562755710489974
-9.5,-11.710000000000008,4.42000000000013,-14.537999999999982,13.844994420078864
-9.5,-11.420000000000002,2.5839999999998327,-17.346000000000032,13.113064988895243
-9.5,-11.420000000000002,2.5869999999997617,-17.179000000000045,13.045299919176541
-9.069999999999993,-10.840000000000003,0.7729999999998256,-17.86100000000002,11.83542618576374
-9.069999999999993,-10.840000000000003,-0.20000000000004547,-18.373999999999995,11.414772454644675
-8.0,-10.129999999999995,-0.7719999999999061,-18.658000000000015,11.028589708696641
-8.0,-10.129999999999995,-0.20799999999991314,-18.32100000000004,11.136425585470864
-6.6200000000000045,-9.64,0.7160000000000935,-21.56699999999998,13.85456024156559
-6.6200000000000045,-9.64,0.5200000000002092,-23.600999999999914,15.537669676718075
-3.930000000000007,-8.760000000000005,-0.6600000000000819,-27.394999999999854,18.889506627598767
-3.930000000000007,-8.760000000000005,-1.1520000000003847,-27.490999999999886,18.913970524385
-3.4499999999999886,-8.299999999999997,-1.3520000000002312,-22.601000000000028,14.442355704046967
-3.4499999999999886,-8.299999999999997,-1.0869999999999607,-20.266000000000076,12.182209186063657
-3.0500000000000114,-7.939999999999998,-1.040999999999741,-15.282000000000181,7.600760658285562
-3.0500000000000114,-7.939999999999998,-1.3969999999998777,-15.105000000000189,7.345526118494625
-2.3799999999999955,-7.659999999999997,-3.2270000000001176,-15.399000000000086,7.783295661287307
-2.3799999999999955,-7.659999999999997,-3.9300000000001205,-15.630000000000038,8.113033912405893
-2.1599999999999966,-7.769999999999996,-7.525999999999868,-15.181999999999903,9.085579664455452
-2.1599999999999966,-7.769999999999996,-8.856999999999744,-14.643999999999934,9.505145668185156
-2.469999999999999,-7.890000000000001,-15.646999999999935,-11.41599999999994,13.457526594658884
-2.469999999999999,-7.890000000000001,-18.125000000000142,-10.191999999999936,15.628652276134076
-3.280000000000001,-8.230000000000004,-25.443000000000325,-8.74799999999999,21.923205549560823
-3.280000000000001,-8.230000000000004,-27.29400000000024,-9.006000000000043,23.75138176953764
-3.5,-7.969999999999999,-36.70199999999983,-10.182000000000045,32.84686867540902
-3.5,-7.969999999999999,-40.485999999999706,-10.286000000000044,36.571699381668125
-3.780000000000001,-7.849999999999994,-47.769999999999754,-9.085999999999984,43.50249642622309
-3.780000000000001,-7.849999999999994,-48.86099999999996,-8.171999999999983,44.61836185606248
-4.430000000000007,-7.430000000000007,-47.59100000000012,11.264000000000038,46.83371542657581
-4.430000000000007,-7.430000000000007,-47.14600000000007,20.596000000000032,50.468680055600196
-5.25,-7.670000000000002,-30.35800000000006,24.183999999999983,40.184606221087755
-5.25,-7.670000000000002,-23.336000000000155,17.755999999999958,31.073401425012722
-4.550000000000011,-7.769999999999996,-9.120000000000203,-0.4280000000000399,8.640267166674922
-4.550000000000011,-7.769999999999996,-9.244000000000113,-2.451000000000022,7.080564270863912
-3.6999999999999886,-7.0,-6.57599999999988,-4.720999999999989,3.657574344907836
-3.6999999999999886,-7.0,-5.070999999999799,-3.589999999999961,3.6730325855488717
-3.25,-7.159999999999997,2.2910000000001673,-0.5019999999999385,8.652144702735853
-3.25,-7.159999999999997,4.703000000000117,0.18500000000007333,10.81098950252113
-2.6899999999999977,-7.230000000000004,11.548999999999921,-0.05300000000001148,15.911277527994715
-2.6899999999999977,-7.230000000000004,13.061999999999841,-0.5390000000000441,17.07231747548813
-1.7700000000000102,-7.430000000000007,24.78199999999987,0.9989999999999242,27.794126797830028
-1.7700000000000102,-7.430000000000007,29.91899999999987,2.5599999999999454,33.15968710114781
-0.28999999999999204,-7.930000000000007,24.88900000000018,2.7280000000000513,27.283791700758343
-0.28999999999999204,-7.930000000000007,18.230000000000246,1.6100000000000563,20.788255920446925
4.449999999999989,-9.180000000000007,3.830000000000041,-1.4819999999999425,7.722674235506564
4.449999999999989,-9.180000000000007,3.7419999999998197,-1.6479999999999535,7.564858929322817
5.659999999999997,-9.530000000000001,5.305999999999699,-2.615999999999957,6.922944016657248
5.659999999999997,-9.530000000000001,6.410999999999916,-2.7519999999999243,6.818955758100468
5.94999999999996,-9.430000000000007,5.481000000000137,-5.747999999999948,3.7112221968300214
5.94999999999996,-9.430000000000007,4.17400000000012,-7.000999999999976,2.998218411217086
5.909999999999997,-8.920000000000002,-2.1779999999999404,-9.631000000000043,8.013623026357987
5.909999999999997,-8.920000000000002,-3.944999999999908,-9.710000000000079,9.756683321255338
5.860000000000014,-9.439999999999998,-10.923000000000002,-11.342000000000056,16.61421366909799
5.9199999999999875,-9.680000000000007,-12.797000000000054,-12.160000000000053,18.540138951044334
5.9199999999999875,-9.680000000000007,-12.471000000000117,-9.69199999999995,18.126607789723273
6.05000000000004,-9.840000000000003,-10.730000000000103,-7.727999999999952,16.714755090578446
6.05000000000004,-9.840000000000003,-7.494000000000028,-4.683999999999983,14.38581747129529
5.44999999999996,-10.069999999999993,-7.791999999999973,-5.070000000000007,14.042035021533485
4.549999999999983,-10.400000000000006,-10.859999999999957,-3.8540000000000703,16.624509409542156
4.549999999999983,-10.400000000000006,-12.266999999999996,-2.7560000000000855,18.35954971008122
4.549999999999983,-10.400000000000006,-16.180999999999983,-5.072000000000031,21.212458261642734
3.830000000000041,-10.5,-17.036,-7.213999999999984,20.871705141792166
3.830000000000041,-10.5,-8.280000000000058,-10.62999999999991,11.904664508572688
2.930000000000007,-10.439999999999998,-3.2880000000001246,-10.235999999999905,6.120358861787795
2.930000000000007,-10.439999999999998,7.880000000000138,-3.4839999999999662,8.514530441948555
2.930000000000007,-10.439999999999998,8.685000000000258,-0.4789999999999708,11.487232047481898
2.2899999999999636,-10.159999999999997,7.435000000000116,-0.7729999999999961,10.690466833165003
1.3799999999999955,-10.030000000000001,6.374999999999915,-3.719999999999999,8.023867128428616
1.3799999999999955,-10.030000000000001,4.8329999999997995,-9.156000000000049,3.515055657553138
1.1099999999999852,-10.129999999999995,5.397999999999911,-8.9050000000001,4.402714890019196
1.1099999999999852,-10.129999999999995,8.886000000000053,-9.25500000000011,7.714536392608791
0.6599999999999966,-10.11,10.370000000000005,-9.73800000000007,9.571583792489088
-0.03999999999999204,-9.909999999999997,17.033999999999935,-12.730000000000004,16.973441212938994
-0.03999999999999204,-9.909999999999997,19.361999999999995,-13.859999999999985,19.38462873030444
0.2400000000000091,-9.079999999999998,46.001999999999924,-21.18000000000002,45.62263746378365
0.2400000000000091,-9.079999999999998,58.00399999999982,-24.005000000000052,56.95015722145177
0.6399999999999864,-9.400000000000006,57.70799999999983,-23.43500000000003,56.14745336728246
0.6399999999999864,-9.400000000000006,47.248999999999995,-20.784999999999997,46.24324751690132
1.5300000000000011,-9.879999999999995,19.12700000000001,-12.174999999999997,17.420122902326252
2.4399999999999977,-9.469999999999999,16.390999999999906,-10.740000000000009,13.791829011784682
2.4399999999999977,-9.469999999999999,8.432999999999936,-5.012000000000015,7.4296706356615205
2.4399999999999977,-9.469999999999999,7.394000000000091,-3.537000000000006,7.707468287835259
4.150000000000006,-7.930000000000007,5.190000000000339,-7.6109999999998905,1.0786961427743795
4.150000000000006,-7.930000000000007,5.547000000000139,-12.643999999999963,4.9101927683756434
4.979999999999961,-8.670000000000002,6.002999999999844,-16.852000000000032,8.242489823035752
4.979999999999961,-8.670000000000002,7.054000000000087,-16.37600000000006,7.967092063293743
6.659999999999997,-7.560000000000002,7.643000000000143,-12.864000000000075,5.391437493452882
6.659999999999997,-7.560000000000002,3.205000000000126,-12.923999999999921,6.3500195667762425
8.929999999999978,-6.969999999999999,-5.418000000000035,-15.476999999999961,16.431319800078697
8.929999999999978,-6.969999999999999,-9.520000000000351,-15.654000000000039,20.04753662676371
10.390000000000015,-8.11,-7.840000000000202,-15.007000000000076,19.131532972888866
10.390000000000015,-8.11,-6.105999999999625,-13.192000000000078,16.98221260012717
10.390000000000015,-8.989999999999995,-2.865999999999559,-11.429999999999964,13.270333636655876
10.390000000000015,-8.989999999999995,-9.129999999999768,-11.04199999999993,19.32776743411173
8.389999999999958,-8.560000000000002,-10.047999999999945,-10.521999999999949,18.28537338867467
8.389999999999958,-8.560000000000002,-5.620000000000175,-9.869999999999962,13.889891239809845
7.75,-8.129999999999995,-7.182000000000357,-8.151999999999944,14.78069574635582
7.75,-8.129999999999995,-9.850000000000108,-6.671999999999983,17.512526225963427
7.72999999999999,-7.680000000000007,-13.163000000000011,-6.161000000000016,20.794009040142104
7.72999999999999,-7.680000000000007,-13.196999999999974,-7.683000000000007,20.737122973164563
8.780000000000001,-7.650000000000006,-7.224999999999852,-10.228000000000009,16.01675717507831
8.780000000000001,-7.650000000000006,-4.515000000000043,-10.943999999999946,13.524892445788982
9.050000000000011,-6.510000000000005,-10.012999999999892,-9.20399999999995,19.07178472320711
9.050000000000011,-6.510000000000005,-10.824999999999761,-7.859999999999985,19.76304978686999
10.780000000000001,-8.769999999999996,-7.665999999999855,-2.238000000000028,19.477898691600487
10.780000000000001,-8.769999999999996,-1.6359999999999388,-0.08100000000007412,15.114066178110894
