phi,theta,est_phi,est_theta,pred_err
1.5099945,0.75499725,-6.7788696,-1.2118759,8.51862
1.5099945,0.75499725,-6.794403,-1.0760345,8.503529
1.8899841,0.94499207,-6.7283783,-0.9288788,8.819377
1.8899841,0.94499207,-6.598816,-0.80514526,8.6670065
2.1599884,1.0799942,-6.15419,-0.5664215,8.47526
2.1599884,1.0799942,-5.7357483,-0.37512207,8.028323
2.0299988,1.0149994,-4.915283,-0.011627197,7.0203753
2.0299988,1.0149994,-4.2300415,0.26718903,6.3040643
1.6700134,0.8350067,-3.4569855,0.53357697,5.1355314
1.6700134,0.8350067,-2.8704834,0.65419006,4.543726
1.3199921,0.65999603,-2.3544312,0.6867981,3.6742373
1.3199921,0.65999603,-2.0342865,0.6024246,3.354563
0.75001526,0.37500763,-1.6718597,0.5687485,2.4295468
0.75001526,0.37500763,-1.5053711,0.51371,2.259494
0.22000122,0.11000061,-1.4964142,0.4500656,1.7498827
0.22000122,0.11000061,-1.6181183,0.39165497,1.8596215
-0.5700073,-0.28500366,-1.6226349,0.478096,1.3001055
-0.5700073,-0.28500366,-1.7386475,0.5898895,1.4599172
-0.95999146,-0.47999573,-1.7077789,0.8179016,1.4978937
-0.95999146,-0.47999573,-1.7673798,1.0110016,1.6956981
-1.1600037,-0.58000183,-1.613678,1.2814865,1.9160167
-1.1600037,-0.58000183,-1.5566254,1.4561615,2.0745254
-1.1600037,-0.58000183,-1.132721,1.7576447,2.3379126
-1.1600037,-0.58000183,-0.85298157,1.9432831,2.541989
-1.6699982,-0.8349991,-0.30371094,2.2013626,3.3295488
-1.6699982,-0.8349991,0.063797,2.3252182,3.6044567
-1.8300018,-0.9150009,0.76950073,2.5852814,4.359546
-1.8300018,-0.9150009,1.2351837,2.7273026,4.7598333
-2.2299957,-1.1149979,2.0477753,3.044014,5.9652233
-2.2299957,-1.1149979,2.5674133,3.2409897,6.478504
-2.8099976,-1.4049988,2.8447876,3.2731857,7.337299
-2.8099976,-1.4049988,2.9004364,3.1473541,7.3012176
-3.2799988,-1.6399994,2.9846344,3.0381622,7.816829
-3.2799988,-1.6399994,2.8750763,2.8875732,7.6393337
-3.6900024,-1.8450012,2.7356567,2.7899704,7.9212704
-3.6900024,-1.8450012,2.4738617,2.7127762,7.6644692
-3.8600006,-1.9300003,2.1330566,2.6586685,7.546626
-3.8600006,-1.9300003,1.7467041,2.6249695,7.2225165
-3.9799957,-1.9899979,1.1268463,2.4758072,6.7830424
-3.9799957,-1.9899979,0.56137085,2.3262787,6.264504
-3.9400024,-1.9700012,-0.15803528,2.0760498,5.537818
-3.9400024,-1.9700012,-0.7503357,1.8647614,4.9875484
-3.9700012,-1.9850006,-1.6509094,1.473465,4.163865
-3.9700012,-1.9850006,-2.3315125,1.162117,3.5480099
-4.1399994,-2.0699997,-3.1426086,0.7990265,3.0373797
-4.1399994,-2.0699997,-3.6965637,0.5840988,2.6908636
-4.1399994,-2.0699997,-4.4575195,0.28694153,2.3782516
-4.1399994,-2.0699997,-4.924225,0.13323212,2.338582
-3.9600067,-1.9800034,-5.41658,-0.021331787,2.4407194
-3.9600067,-1.9800034,-5.637558,-0.049972534,2.5569599
-3.699997,-1.8499985,-5.7444,-0.027679443,2.7383823
-3.699997,-1.8499985,-5.644684,0.068725586,2.7317264
-3.7900085,-1.8950043,-5.3862457,0.20654297,2.638785
-3.7900085,-1.8950043,-5.011978,0.34788513,2.5540495
-3.8399963,-1.9199982,-4.8906097,0.26663208,2.425838
-3.8399963,-1.9199982,-4.6742706,0.12916565,2.2124894
-3.8200073,-1.9100037,-4.521652,-0.07772827,1.9618417
-3.8200073,-1.9100037,-4.3247375,-0.25012207,1.7349448
-3.5200043,-1.7600021,-4.324295,-0.47375488,1.5169771
-3.5200043,-1.7600021,-4.275223,-0.6085739,1.3768612
-2.9700012,-1.4850006,-4.579651,-0.8539963,1.7286165
-2.9700012,-1.4850006,-4.789917,-1.0013962,1.8826318
-2.0400085,-1.0200043,-5.2009735,-1.1818237,3.1645255
-2.0400085,-1.0200043,-5.488159,-1.2495422,3.455134
-0.8699951,-0.43499756,-5.9389496,-1.3582916,5.1517205
-0.8699951,-0.43499756,-6.2335052,-1.3783112,5.445141
0.7299957,0.36499786,-6.502899,-1.37323,7.4382505
0.7299957,0.36499786,-6.627884,-1.304184,7.5443373
2.449997,1.2249985,-6.684311,-1.2213898,9.455545
2.449997,1.2249985,-6.627289,-1.120842,9.37488
3.9799957,1.9899979,-6.482498,-1.020752,10.88555
3.9799957,1.9899979,-6.273758,-0.93652344,10.661712
5.6100006,2.8050003,-6.024933,-0.87734985,12.200268
5.6100006,2.8050003,-5.758423,-0.8449478,11.936556
7.1799927,3.5899963,-5.601959,-0.8989563,13.540858
7.1799927,3.5899963,-5.4421844,-0.968277,13.413786
8.830002,4.415001,-5.2955933,-1.0242844,15.12588
8.830002,4.415001,-5.1675415,-1.0474548,15.015024
10.26001,5.130005,-4.9526825,-0.96572113,16.372456
10.26001,5.130005,-4.78183,-0.8454437,16.16907
10.26001,5.130005,-4.4874725,-0.6207886,15.812601
10.26001,5.130005,-4.2647247,-0.41230774,15.529329
10.949997,5.4749985,-4.158844,-0.29779816,16.153633
10.949997,5.4749985,-4.1046143,-0.26831055,16.092417
11.300003,5.6500015,-4.154419,-0.34440613,16.554106
11.300003,5.6500015,-4.2345276,-0.46805573,16.674095
11.359985,5.6799927,-4.283188,-0.5641632,16.82155
11.359985,5.6799927,-4.353821,-0.6276169,16.910828
11.180008,5.590004,-4.2713165,-0.5487137,16.60522
11.180008,5.590004,-4.223236,-0.42075348,16.51317
10.679993,5.3399963,-3.8711395,-0.08956146,15.511601
10.679993,5.3399963,-3.60289,0.22463226,15.150845
10.540009,5.2700043,-2.8043823,0.7993393,14.052304
10.540009,5.2700043,-2.192627,1.2546844,13.328518
10.209991,5.1049957,-1.0314178,1.9100037,11.664895
10.209991,5.1049957,-0.17146301,2.3378983,10.721722
9.770004,4.885002,1.4077148,3.0399094,8.543505
9.770004,4.885002,2.5349426,3.473709,7.3523126
9.350006,4.675003,4.3698273,4.2036743,4.9875093
9.350006,4.675003,5.6172333,4.6371613,3.720628
9.0099945,4.5049973,7.3538055,5.2730484,1.8202668
9.0099945,4.5049973,8.429062,5.587921,1.2276448
8.839996,4.419998,9.94014,6.1102448,2.0143113
8.839996,4.419998,10.756775,6.3395004,2.7066753
8.470001,4.2350006,12.0021515,6.8157043,4.3609385
8.470001,4.2350006,12.560791,7.03891,4.9428034
8.330002,4.165001,13.573013,7.5395966,6.2115135
8.330002,4.165001,13.930191,7.80291,6.6516604
8.349991,4.1749954,14.670639,8.278786,7.503573
8.349991,4.1749954,14.818771,8.501526,7.7481046
8.37999,4.189995,14.523926,8.418953,7.426925
8.37999,4.189995,13.873505,8.069519,6.6987267
8.349991,4.1749954,13.402695,7.810562,6.201595
8.349991,4.1749954,12.675568,7.520767,5.450213
8.360001,4.1800003,12.0299835,7.3717117,4.8493314
8.360001,4.1800003,11.272873,7.2770767,4.2415013
8.330002,4.165001,10.591232,7.28537,3.846747
8.330002,4.165001,9.9021,7.3143616,3.5163026
8.319992,4.159996,9.142197,7.260956,3.207111
8.319992,4.159996,8.472519,7.1602936,3.0040693
8.319992,4.159996,7.5769653,6.8281937,2.7688076
8.319992,4.159996,6.8654175,6.4666977,2.723617
8.12999,4.064995,6.2143555,6.087723,2.7806594
