phi,theta,est_phi,est_theta,pred_err
-2.050003,-2.050003,-8.089401,2.1398926,7.349403
-2.050003,-2.050003,-8.132095,2.1337128,7.380998
-2.050003,-2.050003,-8.1698,2.1258698,7.4076667
-2.050003,-2.050003,-8.187317,2.1218567,7.419867
-1.8399963,-1.8399963,-8.166931,2.1240234,7.465084
-1.8399963,-1.8399963,-8.151627,2.1232758,7.451719
-1.7200012,-1.7200012,-8.040558,2.140976,7.4054937
-1.7200012,-1.7200012,-7.9730225,2.1451263,7.3500967
-1.6100006,-1.6100006,-7.9339447,2.1475677,7.3550067
-1.6100006,-1.6100006,-7.9134064,2.1493073,7.3382616
-1.4600067,-1.4600067,-7.7263794,2.1831055,7.2474365
-1.4600067,-1.4600067,-7.6156464,2.1922913,7.156617
-1.4600067,-1.4600067,-7.2720337,2.2496033,6.8940377
-1.4600067,-1.4600067,-7.071289,2.2667084,6.7351656
-1.2900085,-1.2900085,-6.3708954,2.3856049,6.2700725
-1.2900085,-1.2900085,-5.961441,2.420639,5.9650264
-1.1500092,-1.1500092,-5.076172,2.563202,5.4032693
-1.1500092,-1.1500092,-4.568268,2.609253,5.080373
-1.3699951,-1.3699951,-3.7858276,2.7316437,4.759916
-1.3699951,-1.3699951,-3.3496552,2.7760925,4.594143
-1.5700073,-1.5700073,-2.699417,2.882492,4.593418
-1.5700073,-1.5700073,-2.343155,2.922821,4.5587893
-1.9299927,-1.9299927,-2.1632233,2.9496765,4.885234
-1.9299927,-1.9299927,-2.0866241,2.9689484,4.9014487
-2.1299896,-2.1299896,-1.9180603,3.0095215,5.143918
-2.1299896,-2.1299896,-1.8336487,3.026352,5.164863
-2.1299896,-2.1299896,-1.7968292,3.0377808,5.1785026
-2.1299896,-2.1299896,-1.7866364,3.0460052,5.187349
-2.4700012,-2.4700012,-1.7393646,3.061081,5.5790696
-2.4700012,-2.4700012,-1.7172089,3.0677338,5.5886164
-3.019989,-3.019989,-1.5312805,3.1044312,6.3026023
-3.019989,-3.019989,-1.4236298,3.115738,6.3397923
-3.4100037,-3.4100037,-1.364975,3.1229706,6.8452716
-3.4100037,-3.4100037,-1.3370819,3.128128,6.858554
-3.3600006,-3.3600006,-1.2453308,3.1465302,6.841202
-3.3600006,-3.3600006,-1.194458,3.1529083,6.8631277
-3.199997,-3.199997,-1.1217957,3.165451,6.6957984
-3.199997,-3.199997,-1.0823822,3.1705627,6.7129693
-2.869995,-2.869995,-1.02034,3.181656,6.3277817
-2.869995,-2.869995,-0.98680115,3.1860504,6.341802
-2.9400024,-2.9400024,-0.9122772,3.199463,6.465385
-2.9400024,-2.9400024,-0.87068176,3.204193,6.482982
-2.9400024,-2.9400024,-0.8491211,3.2073212,6.492835
